,Hours Studied,Paper Practices,Previous Scores
0,7,1,99
1,4,2,82
2,8,2,51
3,5,2,52
4,7,5,75
5,3,6,78
6,7,6,73
7,8,6,45
8,5,2,77
9,4,0,89
10,8,5,91
11,8,2,79
12,3,2,47
13,6,2,47
14,5,8,79
15,2,3,72
16,8,4,73
17,6,2,83
18,2,9,54
19,5,0,75
20,1,3,99
21,6,0,96
22,9,6,74
23,1,6,85
24,3,3,61
25,7,4,62
26,4,9,79
27,9,6,84
28,3,5,94
29,5,3,90
30,3,3,61
31,7,1,44
32,5,9,70
33,9,1,52
34,7,3,67
35,2,4,97
36,4,3,59
37,9,2,72
38,2,1,55
39,9,3,68
40,5,4,62
41,2,0,63
42,4,0,73
43,7,5,46
44,8,4,77
45,3,3,76
46,1,0,43
47,4,6,73
48,2,3,81
49,8,2,61
50,4,6,44
51,2,1,89
52,6,9,81
53,6,0,62
54,4,3,93
55,6,7,99
56,2,5,54
57,2,8,70
58,4,0,98
59,8,0,48
60,7,4,82
61,9,5,97
62,8,7,92
63,5,2,64
64,2,5,64
65,5,2,88
66,8,7,60
67,9,3,48
68,9,1,94
69,1,8,87
70,9,9,77
71,7,7,61
72,9,5,82
73,8,2,62
74,1,1,88
75,8,3,43
76,8,3,68
77,3,0,54
78,1,8,40
79,8,9,93
80,3,7,69
81,3,6,68
82,1,5,59
83,5,2,72
84,7,3,80
85,9,1,83
86,7,6,75
87,9,1,99
88,8,9,61
89,2,0,52
90,1,5,46
91,7,3,47
92,7,7,67
93,8,0,84
94,5,8,82
95,3,5,48
96,8,1,64
97,6,7,95
98,3,4,55
99,1,4,49
100,3,4,50
101,5,6,70
102,3,6,51
103,1,9,99
104,5,6,70
105,7,9,53
106,7,1,90
107,9,7,83
108,3,0,71
109,7,1,89
110,1,6,92
111,4,3,56
112,4,9,74
113,5,9,40
114,7,8,68
115,7,8,90
116,4,2,43
117,7,2,62
118,3,8,67
119,6,9,55
120,2,7,51
121,9,0,92
122,5,5,60
123,6,6,84
124,4,7,56
125,7,1,79
126,9,0,52
127,7,3,91
128,1,0,97
129,1,1,71
130,9,2,76
131,9,3,89
132,4,5,54
133,9,7,51
134,3,8,88
135,7,3,96
136,6,0,54
137,8,4,73
138,9,4,45
139,5,8,56
140,1,5,87
141,3,4,88
142,8,9,96
143,6,9,59
144,8,4,48
145,9,7,98
146,4,0,44
147,1,4,62
148,1,0,72
149,4,6,77
150,7,6,95
151,2,9,53
152,3,7,56
153,1,6,96
154,5,8,58
155,1,7,72
156,8,7,40
157,1,2,52
158,1,9,85
159,2,3,66
160,2,3,45
161,6,0,98
162,7,5,45
163,5,1,72
164,1,8,69
165,1,0,85
166,3,0,74
167,2,9,62
168,5,5,49
169,6,0,90
170,7,2,58
171,4,9,90
172,7,1,67
173,8,8,62
174,1,4,43
175,6,5,59
176,8,1,58
177,5,7,81
178,4,5,66
179,2,7,96
180,6,7,73
181,6,0,43
182,1,6,95
183,9,1,77
184,6,7,46
185,3,1,87
186,4,3,46
187,4,1,89
188,3,6,91
189,3,4,65
190,3,8,65
191,4,4,93
192,7,7,58
193,4,1,48
194,9,2,59
195,1,5,81
196,8,6,84
197,7,9,89
198,2,7,55
199,8,2,93
200,1,6,56
201,9,7,61
202,9,9,52
203,2,5,51
204,7,3,49
205,3,5,40
206,7,8,71
207,9,2,69
208,4,1,47
209,1,4,60
210,2,6,61
211,1,2,57
212,5,4,41
213,5,3,87
214,7,6,83
215,9,1,48
216,9,6,42
217,3,1,93
218,3,2,65
219,3,4,60
220,4,6,69
221,8,5,67
222,6,6,75
